Date,Oil_price,GDPPC,CPI,IR,PrIdx
2000-12-31,31.84373135353202,5074.90261608209,3.8432729570657003,10.757500000000002,70.091013528036
2001-12-31,25.96040487096377,4574.59471550439,3.5691005300146497,7.233333333333333,71.36209408358224
2002-12-31,26.150440017700195,4446.24937095849,2.48939816650703,3.9250000000000003,72.65738569754608
2003-12-31,30.99439994812012,4772.5637229948,2.81017875743615,2.7675,76.42825801433928
2004-12-31,41.46907621023645,6194.85272016783,1.05473871403516,1.83,83.11656284366072
2005-12-31,56.70450196893092,7598.52887745539,3.05257621387848,3.5308333333333337,87.64403073251651
2006-12-31,66.25455993652344,9464.54850676993,3.39201733699404,4.8258333333333345,90.47672453801465
2007-12-31,72.36452370598202,10502.3507082131,4.407799383980461,5.179166666666666,94.21128026901629
2008-12-31,99.75154137894098,10751.4816046663,8.716268730396099,7.15888888888889,94.41102150334625
2009-12-31,62.09408750988188,10208.9079714292,0.353045178360941,1.7466666666666668,88.06772424491615
2010-12-31,79.60988096206907,12808.0383396854,1.4107110795431799,2.007,88.51562882820956
2011-12-31,95.1144047086201,14637.2334407887,3.3412169425929905,4.91909090909091,93.31547111197011
2012-12-31,94.21352001953124,15351.5407387113,3.00744840213049,5.010000000000001,100.2938960919835
2013-12-31,98.04682525755867,15842.9364836273,1.7895555398458702,4.9383333333333335,100.46293818434714
2014-12-31,92.90678557138594,14670.98891427,4.71867527854671,4.02,99.2751247902097
2015-12-31,48.76134922390892,13574.1692377497,4.3487735321705,2.66,99.99999999999994
2016-12-31,43.435800033569336,13753.592148512,3.7861935589311497,3.524,100.08422172325476
2017-12-31,50.85326709215384,14998.8170563212,2.18271846868523,2.596666666666667,99.11184146282764
2018-12-31,64.94745023507046,15888.144355398,2.4348898135305803,2.641818181818181,101.93533142410215
2019-12-31,57.041825430733816,14741.7144039954,2.55754475703323,2.5444444444444447,102.81157529667718
2020-12-31,57.82700042724609,13231.7042069383,3.04549084804331,,106.486648791598
