Date,Oil_price,GDPPC,CPI,IR,Exchg,PrIdx
2000-12-31,31.84373135353202,2520.48108876016,0.7035365371231137,12.146666666666668,2087.5869405154012,77.39131482287661
2001-12-31,25.96040487096377,2439.68245582205,0.6178666059542816,12.435,2299.593460631155,72.09950865388873
2002-12-31,26.150440017700195,2396.62712731836,0.5658818915528713,8.938333333333334,2504.3170309147376,72.06409632154401
2003-12-31,30.99439994812012,2281.40176243006,0.5257233395122639,7.803333333333334,2877.2589511104834,73.48501615687665
2004-12-31,41.46907621023645,2782.62318502156,0.4480641685518496,7.798333333333335,2629.2214605527333,77.6371121242973
2005-12-31,56.70450196893092,3414.46515834715,0.3951659374418402,7.014166666666665,2321.330541454922,80.67017838962423
2006-12-31,66.25455993652344,3741.09283661274,0.366141515222002,6.274166666666666,2359.107235013175,89.08857509627732
2007-12-31,72.36452370598202,4714.07305530504,0.46322573973234665,8.014166666666666,2077.738035275111,97.74157850471437
2008-12-31,99.75154137894098,5472.53652992426,0.6196791702543741,9.741666666666667,1966.134615996926,94.48718516223276
2009-12-31,62.09408750988188,5193.24145795078,0.16491877510443906,6.144166666666668,2156.83396289761,89.82426630073927
2010-12-31,79.60988096206907,6336.70947398467,0.2623923653538662,3.6616666666666666,1899.793025479954,93.46996591563015
2011-12-31,95.1144047086201,7335.16693447606,0.30482207912877557,4.206666666666666,1847.942873180565,97.91864016643802
2012-12-31,94.21352001953124,8050.25537167051,0.201486370144035,5.354166666666667,1797.6874361707123,97.728298880085
2013-12-31,98.04682525755867,8218.34784431478,0.16001954385444025,4.239166666666667,1869.6513080572802,96.43840467442787
2014-12-31,92.90678557138594,8114.34392085161,0.2999576130665614,4.0683333333333325,2002.558109958278,98.07179850382896
2015-12-31,48.76134922390892,6175.8760297026,0.5474217569464613,4.578333333333334,2744.50947826087,99.99999999999996
2016-12-31,43.435800033569336,5870.77795724165,0.4679098422176146,6.781666666666667,3053.8827141759207,103.78380771103535
2017-12-31,50.85326709215384,6376.70671552601,0.3344885696578351,5.989166666666667,2951.2881446373667,103.75193661192509
2018-12-31,64.94745023507046,6729.58333198168,0.26215799363837683,4.709166666666667,2956.8971883783483,106.57518480810943
2019-12-31,57.041825430733816,6424.9794924083,0.3114218121262499,4.498333333333334,3281.0653494063313,108.06515869151436
2020-12-31,57.82700042724609,5334.55604233917,0.42389210019267404,4.54,3321.72086956522,110.858306405206
